month,total_orders,revenue,avg_order_value
2016-09-01,1,143.46,143.46
2016-10-01,265,46490.66,175.44
2016-12-01,1,19.62,19.62
2017-01-01,750,127482.37,169.98
2017-02-01,1653,271239.32,164.09
2017-03-01,2546,414330.95,162.74
2017-04-01,2303,390812.4,169.7
2017-05-01,3546,566851.4,159.86
2017-06-01,3135,490050.37,156.32
2017-07-01,3872,566299.08,146.25
2017-08-01,4193,645832.36,154.03
2017-09-01,4150,701077.49,168.93
2017-10-01,4478,751117.01,167.73
2017-11-01,7289,1153364.2,158.23
2017-12-01,5513,843078.29,152.93
2018-01-01,7069,1077887.46,152.48
2018-02-01,6555,966168.41,147.39
2018-03-01,7003,1120598.24,160.02
2018-04-01,6798,1132878.93,166.65
2018-05-01,6749,1128774.52,167.25
2018-06-01,6099,1011978.29,165.93
2018-07-01,6159,1027807.28,166.88
2018-08-01,6351,985491.64,155.17
